Esperanto,Japanese_Trans,Chinese_Trans,Level_JP,Level_CN,Level_JP_Num,Level_JP_Scaled,Unified_Level
-a,{Ｂ}［形容詞語尾］,[词尾]形容词词尾，表示“……的”“第……”的意思,A,1.0,1.0,2.54,1.77
-ant-,{Ｂ}［分詞接尾辞］（能動・継続）,主动现在分词（进行体）,A,1.0,1.0,2.54,1.77
-as,{Ｂ}［動詞語尾］（直説法現在形）,[词尾]直陈式现在时,A,1.0,1.0,2.54,1.77
-at-,{Ｂ}［分詞接尾辞］（受動・継続）,被动现在分词（进行体）,A,1.0,1.0,2.54,1.77
-aĉ-,"{Ｂ}［接尾辞］（粗悪・下品を示す）, >>domaĉo, >>knabaĉo",表示无价值，无用，不好，劣,B,9.0,2.0,5.67,7.33
-e,{Ｂ}［副詞語尾］,[词尾]副词,A,1.0,1.0,2.54,1.77
-eg-,"{Ｂ}［接尾辞］（強大を示す）, >>arbego, >>varmega",大,A,1.0,1.0,2.54,1.77
-end-,"{Ｂ}［接尾辞］（必須・受動的義務を示す）, >>farenda, >>pagenda",必须被，应该被,B,9.0,2.0,5.67,7.33
-er-,"{Ｂ}［接尾辞］（構成粒子・要素を示す）, >>fajrero, >>monero",某物的构成分子,B,9.0,2.0,5.67,7.33
-et-,"{Ｂ}［接尾辞］（弱小を示す）, >>lageto, >>varmeta",小,A,1.0,1.0,2.54,1.77
-i,{Ｂ}［動詞語尾］（不定法を示す）,[词尾]动词不定式,A,1.0,1.0,2.54,1.77
-ing-,"{Ｂ}［接尾辞］（ものを差し込んで使う道具を示す）, >>kandelingo, >>glavingo",表示插物的器具,B,9.0,2.0,5.67,7.33
-int-,{Ｂ}［分詞接尾辞］（能動・完了）,主动过去分词（完成体）,A,1.0,1.0,2.54,1.77
-is,{Ｂ}［動詞語尾］（直説法過去形）,[词尾]直陈式过去时,A,1.0,1.0,2.54,1.77
-it-,{Ｂ}［分詞接尾辞］（受動・完了） / ［学術接尾辞］【病】（炎症を示す）,被动过去分词（完成体）；（医）炎症（-ito）,A,1.0,1.0,2.54,1.77
-j,{Ｂ}［複数語尾］,[词尾]复数,A,1.0,1.0,2.54,1.77
-n,{Ｂ}［対格語尾］,[词尾]宾格,A,1.0,1.0,2.54,1.77
-nj-,"{Ｂ}［接尾辞］（女子の愛称を示す）, >>panjo",构成对女子的爱称,B,9.0,2.0,5.67,7.33
-o,{Ｂ}［名詞語尾］,[词尾]名词,A,1.0,1.0,2.54,1.77
-ont-,{Ｂ}［分詞接尾辞］（能動・将然）,主动将来分词（表将要）,A,1.0,1.0,2.54,1.77
-op-,"{Ｂ}［接尾辞］（集合を示す）, >>duope",构成集合数,B,9.0,2.0,5.67,7.33
-os,{Ｂ}［動詞語尾］（未来形）,[词尾]直陈式将来时,A,1.0,1.0,2.54,1.77
-ot-,{Ｂ}［分詞接尾辞］受動・将然,被动将来分词（表将要）,A,1.0,1.0,2.54,1.77
-u,{Ｂ}［動詞語尾］（意志法を示す）,[词尾]动词命令式,A,1.0,1.0,2.54,1.77
-um-,"{Ｂ}［接尾辞］（特定の意味を持たない）, >>gustumi, >>manumo",（含义不定）,A,1.0,1.0,2.54,1.77
-us,{Ｂ}［動詞語尾］（条件法を示す）,[词尾]动词虚拟式,A,1.0,1.0,2.54,1.77
-ĉj-,"{Ｂ}［接尾辞］（男子の愛称を示す）, >>Vilĉjo, >>paĉjo",构成对男子的爱称,B,9.0,2.0,5.67,7.33
Afriko,{Ｂ}【地名】アフリカ,非洲,B,9.0,2.0,5.67,7.33
Ameriko,{Ｂ}【地名】アメリカ（大陸）,美洲,B,9.0,2.0,5.67,7.33
Atlantiko,"{Ｂ}【地名】大西洋, =Atlantika Oceano",大西洋,C,9.0,3.0,8.79,8.9
Azio,{Ｂ}【地名】アジア,亚洲,B,9.0,2.0,5.67,7.33
Aŭstralio,{Ｂ}【国名】オーストラリア（大洋州）,澳大利亚,C,9.0,3.0,8.79,8.9
Esperanto,{Ｂ}エスペラント（1887年ザメンホフが発表した国際語）,世界语,B,8.0,2.0,5.67,6.83
Eŭropo,{Ｂ}【地名】ヨーロッパ,欧洲,B,9.0,2.0,5.67,7.33
Mediteraneo,{Ｂ}【地名】地中海（ヨーロッパ南）,地中海,C,9.0,3.0,8.79,8.9
Pacifiko,"{Ｂ}【地名】太平洋, =Pacifika Oceano",太平洋,C,9.0,3.0,8.79,8.9
abelo,"{Ｂ}【虫】ミツバチ（蜜蜂）（属）; 《般》（小型の）ハチ（蜂）, >>vespo",蜜蜂属昆虫,C,8.0,3.0,8.79,8.4
aboni,"{Ｂ}［他］（一定期間・継続的に）予約する, 購読する, >>rezervi, >>antaŭmendi",（事先付款）预订,B,8.0,2.0,5.67,6.83
absoluta,"{Ｂ}絶対の, 無条件の, 完全な, 全くの, >>senkondiĉa, >>perfekta",绝对的，无条件的，完全的,B,9.0,2.0,5.67,7.33
absurda,"{Ｂ}非常識な, 不合理な; ばかげた, ばかばかしい; 【哲】不条理な",荒谬，不合逻辑,C,9.0,3.0,8.79,8.9
abunda,"{Ｂ}有り余るほどの, 豊富な, >>riĉa",大量，极其丰富,C,7.0,3.0,8.79,7.9
adapti,"{Ｂ}［他］適合させる, 適応させる, 合わせる; （劇や映画用に）脚色する",适应，配（合），改编；装配,C,9.0,3.0,8.79,8.9
adiaŭ,{Ｂ}［間］さようなら,再见！（在长期离别前向人告别的话）,B,7.0,2.0,5.67,6.33
adicii,"{Ｂ}［他］【数】加える, 足し算する, >>aldoni",[数学]加,C,8.0,3.0,8.79,8.4
