user,group_id,seed,correct,total,accuracy,points,raw_points,accuracy_bonus,ts,mode,topic,subtopic,levels,raw_points_total,raw_points_main,raw_points_spartan,accuracy_bonus_main,accuracy_bonus_spartan,spartan_scaled_points,spartan_attempts,spartan_correct,spartan_accuracy,spartan_mode,direction,points_main,points_spartan_raw,points_spartan_scaled
test,test_group,1,5,10,0.5,50,40,10,2025-01-01 0:00:00,,,,,,,,,,,,,,,,,,
MontaInterno,pronoun:beginner_1+beginner_2+intermediate_1+intermediate_2+intermediate_3+advanced_1+advanced_2+advanced_3+advanced_4+advanced_5:g1,1,10,10,1,210,190,20,2025-11-24 13:23:18,,,,,,,,,,,,,,,,,,
MontaInterno,other:beginner_1+beginner_2+intermediate_1+intermediate_2+advanced_1+advanced_2+advanced_3+advanced_4:g1,1,7,8,0.875,126,112,14,2025-11-24 15:53:16,,,,,,,,,,,,,,,,,,
MontaInterno,other:beginner_1+beginner_2+intermediate_1+intermediate_2+advanced_1+advanced_2+advanced_3+advanced_4:g1,1,8,8,1,152,136,16,2025-11-24 15:53:49,,,,,,,,,,,,,,,,,,
MontaInterno,adjective:beginner_1:g1,1,19,22,0.8636363636,390,352,38,2025-11-24 16:06:56,,,,,,,,,,,,,,,,,,
MontaInterno,adjective:beginner_1:g1,2,22,22,1,726,682,44,2025-11-24 16:08:17,,,,,,,,,,,,,,,,,,
MontaInterno,adjective:beginner_1:g1,1,20,22,0.9090909091,358,318,40,2025-11-24 16:15:59,,,,,,,,,,,,,,,,,,
MontaInterno,adjective:beginner_1:g1,3,20,22,0.9090909091,388,348,40,2025-11-24 16:17:45,,,,,,,,,,,,,,,,,,
MontaInterno,pronoun:beginner_1+beginner_2+intermediate_1+intermediate_2+intermediate_3+advanced_1+advanced_2+advanced_3+advanced_4+advanced_5:g1,3,8,10,0.8,112,96,16,2025-11-24 16:19:10,,,,,,,,,,,,,,,,,,
MontaInterno,pronoun:beginner_1+beginner_2+intermediate_1+intermediate_2+intermediate_3+advanced_1+advanced_2+advanced_3+advanced_4+advanced_5:g1,3,10,10,1,210,190,20,2025-11-24 16:19:57,,,,,,,,,,,,,,,,,,
MontaInterno,adjective:advanced_4:g1,1,23,24,0.9583333333,772,726,46,2025-11-24 16:21:56,,,,,,,,,,,,,,,,,,
MontaInterno,other:beginner_1+beginner_2+intermediate_1+intermediate_2+advanced_1+advanced_2+advanced_3+advanced_4:g1,1,6,8,0.75,92,80,12,2025-11-24 16:28:47,,,,,,,,,,,,,,,,,,
MontaInterno,adjective:beginner_1:g1,1,22,22,1,445.5,335.5,110,2025-11-28 15:25:29,,,,,,,,,,,,,,,,,,
MontaInterno,adjective:beginner_1:g1,1,22,22,1,445.5,335.5,110,2025-11-28 15:28:03,,,,,,,,,,,,,,,,,,
MontaInterno,,,20,21,0.9523809524,525.25,375.25,150,2025-11-29 17:48:14,sentence,Basic Sentences,Saying Hello & Goodbye,"1,2,3,4,5",,,,,,,,,,,,,,
MontaIntaerno,,,2,4,0.5,61.425,46.425,15,2025-11-29 18:32:32,sentence,Education,At University,"1,2",,,,,,,,,,,,,,
CAINIAO,adjective:beginner_1:g1,1,21,22,0.9545454545,365,,105,2025-11-30 8:13:17,,,,,260,260,0,105,0,0,0,0,0,0,eo_to_ja,,,
MontaInterno,,,8,8,1,185,125,60,2025-11-30 12:49:15,sentence,Basic Sentences,Instructions,"1,2",,,,,0,,0,0,0,0,ja_to_eo,125,0,0
MontaInterno,adjective:beginner_1:g1,1,21,22,0.9545454545,366,,105,2025-11-30 12:51:54,,,,,261,261,0,105,0,0,0,0,0,0,eo_to_ja,,,
MontaInterno,,,8,8,1,185,125,60,2025-11-30 12:53:47,sentence,Basic Sentences,Instructions,"1,2",,,,,0,,0,0,0,0,ja_to_eo,125,0,0
MontaInterno,,,8,8,1,185,125,60,2025-11-30 12:56:58,sentence,Basic Sentences,Instructions,"1,2",,,,,0,,0,0,0,0,ja_to_eo,125,0,0
MontaInterno,,,4,4,1,84.5,54.5,30,2025-11-30 13:01:40,sentence,Basic Sentences,Short Questions & Answers,1,,,,,0,,0,0,0,0,ja_to_eo,54.5,0,0
MontaInterno,,,10,10,1,238.75,163.75,75,2025-11-30 13:11:57,sentence,Education,Student Life,"1,2",,,,,0,,0,0,0,1,ja_to_eo,163.75,0,0
MontaInterno,,,5,5,1,117.5,80,37.5,2025-11-30 13:16:16,sentence,Restaurant & Pub,At the Pub,"1,3",,,,,0,,0,0,0,0,ja_to_eo,80,0,0
MontaInterno,,,3,4,0.75,68.25,45.75,22.5,2025-11-30 13:17:44,sentence,Restaurant & Pub,Complaints,"1,3",,,,,0,,0,0,0,0,ja_to_eo,45.75,0,0
MontaInterno,,,4,4,1,92.5,62.5,30,2025-11-30 13:34:40,sentence,Restaurant & Pub,Complaints,"1,3",,,,,0,,0,0,0,0,eo_to_ja,62.5,0,0
MontaInterno,,,6,8,0.75,149.5,104.5,45,2025-11-30 13:41:49,sentence,Plane,Airport Signs,"1,2,3,4,5",,,,,0,,0,0,0,0,ja_to_eo,104.5,0,0
MontaInterno,,,8,8,1,209,149,60,2025-11-30 13:44:10,sentence,Plane,Airport Signs,"1,2,3,4,5",,,,,0,,0,0,0,1,ja_to_eo,149,0,0
MontaInterno,other:beginner_1+beginner_2+intermediate_1+intermediate_2+advanced_1+advanced_2+advanced_3+advanced_4:g1,1,8,8,1,182,,40,2025-11-30 13:47:01,,,,,142,142,0,40,0,0,0,0,0,1,ja_to_eo,,,
camegone,adjective:beginner_1:g1,1,21,22,0.9545454545,424,,105,2025-11-30 15:15:39,,,,,325,305,20,105,0,14,1,1,1,1,eo_to_ja,,,
MontaInterno,,,8,12,0.6666666667,179.75,119.75,60,2025-11-30 15:52:08,sentence,Basic Sentences,Apologies,"1,2,3,4",,,,,0,,0,0,0,0,ja_to_eo,119.75,0,0
MontaInterno,,,37,38,0.9736842105,1289.925,1012.425,277.5,2025-11-30 17:48:22,sentence,Other Transport,At the Bus Station,"1,2,3,4,5,10,8,9,7,6",,,,,0,,1,1,1,1,ja_to_eo,996.5,22.75,15.925
MontaInterno,adjective:beginner_1:g1,1,22,22,1,445.5,,110,2025-12-01 4:20:06,,,,,335.5,335.5,0,110,0,0,0,0,0,0,eo_to_ja,,,
MontaInterno,noun:advanced_6:g4,1,25,26,0.9615384615,624.15,,125,2025-12-01 4:35:47,,,,,506.5,482,24.5,125,0,17.15,1,1,1,1,eo_to_ja,,,
MontaInterno,,,45,49,0.9183673469,1444.75,1107.25,337.5,2025-12-01 23:22:00,sentence,Services,At the Bank,"3,4,5,6,7,8,9,10",,,,,0,,0,0,0,0,ja_to_eo,1107.25,0,0
MontaInterno,,,36,38,0.9473684211,1165.75,895.75,270,2025-12-13 9:08:16,sentence,Health,Treatment,"1,2,3,4,5,10,9,8,7,6",,,,,0,,0,0,0,0,ja_to_eo,895.75,0,0
MontaInterno,verb:advanced_6:g3,1,20,20,1,515,,100,2025-12-13 9:44:59,,,,,415,415,0,100,0,0,0,0,0,1,eo_to_ja,,,
MontaInterno,verb:advanced_6:g2,1,16,20,0.8,399.2,,80,2025-12-13 9:47:37,,,,,340.5,269.5,71,80,0,49.7,4,4,1,1,eo_to_ja,,,
MontaInterno,noun:advanced_6:g3,1,21,27,0.7777777778,523.6,,105,2025-12-13 11:27:47,,,,,448,350,98,105,0,68.6,9,6,0.6666666667,1,eo_to_ja,,,
MontaInterno,,,50,50,1,2156.75,1781.75,375,2025-12-13 11:36:59,sentence,Health,At the Pharmacy,"1,2,3,4,5,10,9,8,7,6",,,,,0,,0,0,0,1,ja_to_eo,1781.75,0,0
MontaInterno,,,50,50,1,2156.75,1781.75,375,2025-12-13 11:37:02,sentence,Health,At the Pharmacy,"1,2,3,4,5,10,9,8,7,6",,,,,0,,0,0,0,1,ja_to_eo,1781.75,0,0
MontaInterno,other:beginner_1+beginner_2+intermediate_1+intermediate_2+advanced_1+advanced_2+advanced_3+advanced_4:g1,1,6,8,0.75,155.9,,30,2025-12-13 14:24:49,,,,,135.5,103.5,32,30,0,22.4,4,2,0.5,1,eo_to_ja,,,
Mingeo,numeral:advanced_1+advanced_2+advanced_3+advanced_4+advanced_5+advanced_6:g1,1,21,21,1,546,,105,2025-12-14 6:30:03,,,,,441,441,0,105,0,0,0,0,0,0,eo_to_ja,,,
Mingeo,,,30,30,1,987.25,762.25,225,2025-12-14 6:41:56,sentence,Education,Numbers & Colours,"1,2,3,4,5",,,,,0,,0,0,0,0,eo_to_ja,762.25,0,0
Mingeo,,,32,32,1,1240,1000,240,2025-12-14 6:46:53,sentence,Education,Numbers & Colours,"6,7,8,9,10",,,,,0,,0,0,0,0,eo_to_ja,1000,0,0
hayakazekanichan,adjective:beginner_1:g1,1,17,22,0.7727272727,310.5,,85,2025-12-28 11:14:34,,,,,243.5,183.5,60,85,0,42,5,5,1,1,eo_to_ja,,,
