user,group_id,seed,correct,total,accuracy,points,raw_points,accuracy_bonus,ts,mode,topic,subtopic,levels,raw_points_total,raw_points_main,raw_points_spartan,accuracy_bonus_main,accuracy_bonus_spartan,spartan_scaled_points,spartan_attempts,spartan_correct,spartan_accuracy,spartan_mode,direction,points_main,points_spartan_raw,points_spartan_scaled,save_id
test,test_group,1,5,10,0.5,50,40,10,2025-01-01 0:00:00,vocab,,,,,,,,,,,,,,,,,,e4f4952f-1645-4c2b-850c-4ee09e7f7049
MontaInterno,pronoun:beginner_1+beginner_2+intermediate_1+intermediate_2+intermediate_3+advanced_1+advanced_2+advanced_3+advanced_4+advanced_5:g1,1,10,10,1,210,190,20,2025-11-24 13:23:18,vocab,,,,,,,,,,,,,,,,,,104044d5-369c-4457-8c7d-1b566b01ee89
MontaInterno,other:beginner_1+beginner_2+intermediate_1+intermediate_2+advanced_1+advanced_2+advanced_3+advanced_4:g1,1,7,8,0.875,126,112,14,2025-11-24 15:53:16,vocab,,,,,,,,,,,,,,,,,,4d3e26d3-085d-4b08-8914-9111ee1b772b
MontaInterno,other:beginner_1+beginner_2+intermediate_1+intermediate_2+advanced_1+advanced_2+advanced_3+advanced_4:g1,1,8,8,1,152,136,16,2025-11-24 15:53:49,vocab,,,,,,,,,,,,,,,,,,08dfe7cd-3fd2-4602-8466-25dad64d1a2b
MontaInterno,adjective:beginner_1:g1,1,19,22,0.8636363636,390,352,38,2025-11-24 16:06:56,vocab,,,,,,,,,,,,,,,,,,0cf95676-bc86-4340-8faf-f2df126e50b4
MontaInterno,adjective:beginner_1:g1,2,22,22,1,726,682,44,2025-11-24 16:08:17,vocab,,,,,,,,,,,,,,,,,,0c2b9cdd-b7c4-49ef-a331-10e735b34377
MontaInterno,adjective:beginner_1:g1,1,20,22,0.9090909091,358,318,40,2025-11-24 16:15:59,vocab,,,,,,,,,,,,,,,,,,8f3c94e4-404e-4202-b9f5-d4b10911d62a
MontaInterno,adjective:beginner_1:g1,3,20,22,0.9090909091,388,348,40,2025-11-24 16:17:45,vocab,,,,,,,,,,,,,,,,,,061149d5-ef22-4ef8-91e6-297f4e7dcbbf
MontaInterno,pronoun:beginner_1+beginner_2+intermediate_1+intermediate_2+intermediate_3+advanced_1+advanced_2+advanced_3+advanced_4+advanced_5:g1,3,8,10,0.8,112,96,16,2025-11-24 16:19:10,vocab,,,,,,,,,,,,,,,,,,4d962ac5-978b-437d-bcaa-ffe75dffc3e5
MontaInterno,pronoun:beginner_1+beginner_2+intermediate_1+intermediate_2+intermediate_3+advanced_1+advanced_2+advanced_3+advanced_4+advanced_5:g1,3,10,10,1,210,190,20,2025-11-24 16:19:57,vocab,,,,,,,,,,,,,,,,,,312c9f8b-85d7-4d67-810c-d696ce7598bf
