kind,id,key,text,status,existing_size,generated_size
phrase,156,0001_bonan_matenon,Bonan matenon,ok,70604,70604
phrase,157,0002_saluton,Saluton!,ok,50684,50684
phrase,158,0003_gxis,Ĝis!,ok,35564,35564
phrase,159,0004_kiel_vi_fartas,Kiel vi fartas?,ok,85484,85484
phrase,160,0005_mi_fartas_bone_dankon,"Mi fartas bone, dankon",ok,113804,113804
phrase,161,0006_estas_bone_vidi_vin,Estas bone vidi vin!,ok,86924,86924
phrase,162,0007_bonan_tagon,Bonan tagon,ok,64124,64124
phrase,163,0008_bonan_vesperon,Bonan vesperon,ok,74444,74444
phrase,164,0009_bonan_nokton,Bonan nokton,ok,65804,65804
phrase,165,0010_gxis_revido,Ĝis revido!,ok,60524,60524
phrase,166,0011_gxis_morgaux,Ĝis morgaŭ!,ok,55004,55004
phrase,167,0012_bone_dankon_kaj_vi,"Bone, dankon, kaj vi?",ok,104444,104444
phrase,168,0013_ne_tre_bone,Ne tre bone,ok,57164,57164
phrase,169,0014_tiel_tiel,Tiel-tiel,ok,59804,59804
phrase,170,0015_kio_nova,Kio nova?,ok,53324,53324
phrase,171,0016_nenio_nova,Nenio nova,ok,62684,62684
phrase,172,0017_kiel_iras_la_laboro,Kiel iras la laboro?,ok,100364,100364
phrase,173,0018_ne_tro_malbone_dankon,"Ne tro malbone, dankon",ok,108764,108764
phrase,174,0019_mi_gxojas_revidi_vin,Mi ĝojas revidi vin,ok,91724,91724
phrase,175,0020_mi_devas_iri,Mi devas iri,ok,60524,60524
phrase,176,0021_gxis_revido,Ĝis revido!,ok,60524,60524
phrase,177,0022_mi_revenos,Mi revenos,ok,61724,61724
phrase,178,0023_salutu_lukason_de_mi,Salutu Lukason de mi,ok,99884,99884
phrase,179,0024_estis_agrable_paroli_kun_vi,Estis agrable paroli kun vi,ok,119084,119084
phrase,180,0025_bonvenon,Bonvenon!,ok,53564,53564
phrase,181,0026_gxis_baldaux,Ĝis baldaŭ!,ok,56924,56924
phrase,182,0027_mi_tuj_revenos,Mi tuj revenos!,ok,74924,74924
phrase,183,0028_cxiuokaze_mi_parolos_kun_vi_poste,"Ĉiuokaze, mi parolos kun vi poste",ok,175724,175724
phrase,184,0029_estis_agrable_konatigxi_kun_vi,Estis agrable konatiĝi kun vi,ok,127244,127244
phrase,185,0030_estis_bone_vidi_vin,Estis bone vidi vin,ok,87164,87164
phrase,186,0031_mi_antauxgxojas_revidi_vin,Mi antaŭĝojas revidi vin,ok,115244,115244
phrase,187,0032_ni_revidigxos_post_tri_semajnoj,Ni revidiĝos post tri semajnoj,ok,135404,135404
phrase,188,0033_kiel_vi_progresas_en_via_nova_laboro,Kiel vi progresas en via nova laboro?,ok,161804,161804
phrase,189,0034_bonvolu_transdoni_miajn_korajn_salutojn_al_via_patro,Bonvolu transdoni miajn korajn salutojn al via patro,ok,215324,215324
